"Country or Area","Year","Value","Value Footnotes"
"China","2017","551234509","1"
"China","2016","487960477","1"
"China","2015","436183969","1"
"China","2014","390878784","1"
"China","2013","352795296","1"
"China","2012","318475924","1"
"China","2011","292160158","1"
"China","2010","266293020","1"
"China","2009","229062099","1"
"China","2008","191001220","1"
"China","2007","183613132","1"
"China","2006","158013351","1"
"China","2005","136721623","1"
"China","2004","119789024","1"
"China","2003","86040642","1"
"China","2002","83671798","1"
"China","2001","72660653","1"
"China","2000","61891807","1"
"China","1999","55853100","1"
"China","1998","53234000","1"
"China","1997","52277000","1"
"China","1996","51770100","1"
"China","1995","47564500","1"
"China","1994","37601000","1"
"China","1993","31312500","1"
"China","1992","27345000","1"
"China","1991","19520000","1"
"China","1990","16596100","1"
"China","1989","11080000","1"
"China","1988","17000000","1"
"China","1987","12500000","1"
"China","1986","10000000","1"
"China","1985","7300000","1"
"China","1984","5000000","1"
"China","1983","3836000","1"
"China","1982","3942000","1"
"China","1981","3236000","1"
"China","1980","2568000","1"
"China","1979","2519000","1"
"China","1978","1540000","1"
"China","1977","1110000","1"
"China","1976","1050000","1"
"China","1975","1000000","1"
"China","1974","710000","1"
"Japan","2017","123898000",""
"Japan","2016","117708000",""
"Japan","2015","114128000",""
"Japan","2014","110547000",""
"Japan","2013","107573000",""
"Japan","2012","98907859",""
"Japan","2011","89788818",""
"Japan","2010","109617020.965748",""
"Japan","2009","86896527",""
"Japan","2008","97022471",""
"Japan","2007","99842338",""
"Japan","2006","102845319",""
"Japan","2005","102279015",""
"Japan","2004","101740600",""
"Japan","2003","103988547",""
"Japan","2002","109037841",""
"Japan","2001","107823469",""
"Japan","2000","109123312",""
"Japan","1999","105994496",""
"Japan","1998","101701200",""
"Japan","1997","94997600",""
"Japan","1996","95913504",""
"Japan","1995","91797000",""
"Japan","1994","83913504",""
"Japan","1993","80063904",""
"Japan","1992","81378400",""
"Japan","1991","78719800",""
"Japan","1990","76223800",""
"Japan","1989","69321696",""
"Japan","1988","62087500",""
"Japan","1987","57757700",""
"Japan","1986","52489800",""
"Japan","1985","51294700",""
"Japan","1984","50452800",""
"Japan","1983","46554000",""
"Japan","1982","46394200",""
"Japan","1981","48061200",""
"Japan","1980","45144500",""
"Japan","1979","45367800",""
"Japan","1978","40554700",""
"Japan","1977","36177400",""
"Japan","1976","29566000",""
"Japan","1975","27281400",""
"Japan","1974","27485700",""
"Japan","1973","25393100",""
"Japan","1972","20169500",""
"Japan","1971","17880500",""
"Japan","1970","16315100",""
"Korea","2017","82818983",""
"Korea","2016","76859538",""
"Korea","2015","66093149",""
"Korea","2014","58289180",""
"Korea","2013","54530105",""
"Korea","2012","39969577.0157166",""
"Korea","2011","39911749.5898122",""
"Korea","2010","36987982",""
"Korea","2009","34168590",""
"Korea","2008","36077655",""
"Korea","2007","36655313",""
"Korea","2006","34842655",""
"Korea","2005","33888328",""
"Korea","2004","34511494",""
"Korea","2003","33372577",""
"Korea","2002","34831814",""
"Korea","2001","33710340",""
"Korea","2000","34331368",""
"Korea","1999","30870200",""
"Korea","1998","27109000",""
"Korea","1997","35505800",""
"Korea","1996","33002700",""
"Korea","1995","29345200",""
"Korea","1994","24932300",""
"Korea","1993","21425900",""
"Korea","1992","19766900",""
"Korea","1991","16908000",""
"Korea","1990","15684500",""
"Korea","1989","13160800",""
"Korea","1988","9826000",""
"Korea","1987","8330900",""
"Korea","1986","7211400",""
"Korea","1985","6202500",""
"Korea","1984","5353300",""
"Korea","1983","4861500",""
"Korea","1982","4201500",""
"Korea","1981","4186700",""
"Korea","1980","3566600",""
"Korea","1979","3725900",""
"Korea","1978","3099800",""
"Korea","1977","2466500",""
"Korea","1976","2075200",""
"Korea","1975","2046700",""
"Korea","1974","1923800",""
"Korea","1973","2213400",""
"Korea","1972","1640000",""
"Korea","1971","1463600",""
"Korea","1970","1208100",""
