"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"IS.AIR.PSGR","KOR","Korea","2017","2017","82818983",""
"IS.AIR.PSGR","KOR","Korea","2016","2016","76859538",""
"IS.AIR.PSGR","KOR","Korea","2015","2015","66093149",""
"IS.AIR.PSGR","KOR","Korea","2014","2014","58289180",""
"IS.AIR.PSGR","KOR","Korea","2013","2013","54530105",""
"IS.AIR.PSGR","KOR","Korea","2012","2012","39969577.0157166",""
"IS.AIR.PSGR","KOR","Korea","2011","2011","39911749.5898122",""
"IS.AIR.PSGR","KOR","Korea","2010","2010","36987982",""
"IS.AIR.PSGR","KOR","Korea","2009","2009","34168590",""
"IS.AIR.PSGR","KOR","Korea","2008","2008","36077655",""
"IS.AIR.PSGR","KOR","Korea","2007","2007","36655313",""
"IS.AIR.PSGR","KOR","Korea","2006","2006","34842655",""
"IS.AIR.PSGR","KOR","Korea","2005","2005","33888328",""
"IS.AIR.PSGR","KOR","Korea","2004","2004","34511494",""
"IS.AIR.PSGR","KOR","Korea","2003","2003","33372577",""
"IS.AIR.PSGR","KOR","Korea","2002","2002","34831814",""
"IS.AIR.PSGR","KOR","Korea","2001","2001","33710340",""
"IS.AIR.PSGR","KOR","Korea","2000","2000","34331368",""
"IS.AIR.PSGR","KOR","Korea","1999","1999","30870200",""
"IS.AIR.PSGR","KOR","Korea","1998","1998","27109000",""
"IS.AIR.PSGR","KOR","Korea","1997","1997","35505800",""
"IS.AIR.PSGR","KOR","Korea","1996","1996","33002700",""
"IS.AIR.PSGR","KOR","Korea","1995","1995","29345200",""
"IS.AIR.PSGR","KOR","Korea","1994","1994","24932300",""
"IS.AIR.PSGR","KOR","Korea","1993","1993","21425900",""
"IS.AIR.PSGR","KOR","Korea","1992","1992","19766900",""
"IS.AIR.PSGR","KOR","Korea","1991","1991","16908000",""
"IS.AIR.PSGR","KOR","Korea","1990","1990","15684500",""
"IS.AIR.PSGR","KOR","Korea","1989","1989","13160800",""
"IS.AIR.PSGR","KOR","Korea","1988","1988","9826000",""
"IS.AIR.PSGR","KOR","Korea","1987","1987","8330900",""
"IS.AIR.PSGR","KOR","Korea","1986","1986","7211400",""
"IS.AIR.PSGR","KOR","Korea","1985","1985","6202500",""
"IS.AIR.PSGR","KOR","Korea","1984","1984","5353300",""
"IS.AIR.PSGR","KOR","Korea","1983","1983","4861500",""
"IS.AIR.PSGR","KOR","Korea","1982","1982","4201500",""
"IS.AIR.PSGR","KOR","Korea","1981","1981","4186700",""
"IS.AIR.PSGR","KOR","Korea","1980","1980","3566600",""
"IS.AIR.PSGR","KOR","Korea","1979","1979","3725900",""
"IS.AIR.PSGR","KOR","Korea","1978","1978","3099800",""
"IS.AIR.PSGR","KOR","Korea","1977","1977","2466500",""
"IS.AIR.PSGR","KOR","Korea","1976","1976","2075200",""
"IS.AIR.PSGR","KOR","Korea","1975","1975","2046700",""
"IS.AIR.PSGR","KOR","Korea","1974","1974","1923800",""
"IS.AIR.PSGR","KOR","Korea","1973","1973","2213400",""
"IS.AIR.PSGR","KOR","Korea","1972","1972","1640000",""
"IS.AIR.PSGR","KOR","Korea","1971","1971","1463600",""
"IS.AIR.PSGR","KOR","Korea","1970","1970","1208100",""

